,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
124,112*,202,143,6,2,78.32,3,not out,2,v England,Wellington,3 Mar 2018
125,45,64,48,3,1,93.75,3,caught,2,v England,Dunedin,7 Mar 2018
126,14,39,25,1,0,56.00,3,bowled,1,v England,Christchurch,10 Mar 2018
127,27,-,38,2,0,71.05,3,caught,1,v Pakistan,Abu Dhabi,7 Nov 2018
128,1,-,3,0,0,33.33,3,run out,1,v Pakistan,Abu Dhabi,9 Nov 2018
129,76,-,74,6,0,102.70,3,bowled,1,v Sri Lanka,Mount Maunganui,3 Jan 2019
130,1,-,9,0,0,11.11,3,caught,1,v Sri Lanka,Mount Maunganui,5 Jan 2019
131,55,-,65,6,1,84.61,3,caught,1,v Sri Lanka,Nelson,8 Jan 2019
132,64,138,81,7,0,79.01,3,caught,1,v India,Napier,23 Jan 2019
133,20,13,11,1,2,181.81,3,bowled,2,v India,Mount Maunganui,26 Jan 2019
134,28,62,48,4,0,58.33,3,caught,1,v India,Mount Maunganui,28 Jan 2019
135,11,23,18,2,0,61.11,3,caught,2,v India,Hamilton,31 Jan 2019
136,39,96,73,3,0,53.42,3,caught,2,v India,Wellington,3 Feb 2019
137,11,25,22,1,0,50.00,3,lbw,2,v Bangladesh,Napier,13 Feb 2019
138,65*,128,86,3,0,75.58,3,not out,2,v Bangladesh,Christchurch,16 Feb 2019
139,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Cardiff,1 Jun 2019
140,40,108,72,1,0,55.55,3,caught,2,v Bangladesh,The Oval,5 Jun 2019
141,79*,136,99,9,0,79.79,3,not out,2,v Afghanistan,Taunton,8 Jun 2019
142,106*,216,138,9,1,76.81,3,not out,2,v South Africa,Birmingham,19 Jun 2019
143,148,212,154,14,1,96.10,3,caught,1,v West Indies,Manchester,22 Jun 2019
144,41,114,69,4,0,59.42,3,caught,1,v Pakistan,Birmingham,26 Jun 2019
145,40,69,51,2,1,78.43,3,caught,2,v Australia,Lord's,29 Jun 2019
146,27,62,40,3,0,67.50,3,run out,2,v England,Chester-le-Street,3 Jul 2019
147,67,137,95,6,0,70.52,3,caught,1,v India,Manchester,9 Jul 2019
148,30,77,53,2,0,56.60,3,caught,1,v England,Lord's,14 Jul 2019
149,22,43,31,2,0,70.96,3,caught,2,v India,Mount Maunganui,11 Feb 2020
150,19,-,26,2,0,73.07,3,bowled,2,v Australia,Sydney,13 Mar 2020
