,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
168,117,174,117,7,2,100.00,3,caught,1,v Australia,Melbourne,17 Jan 2016
169,106,131,92,11,1,115.21,3,caught,2,v Australia,Canberra,20 Jan 2016
170,8,11,11,1,0,72.72,3,caught,2,v Australia,Sydney,23 Jan 2016
171,85*,109,81,9,1,104.93,3,not out,2,v New Zealand,Dharamsala,16 Oct 2016
172,9,18,13,1,0,69.23,3,caught,2,v New Zealand,Delhi,20 Oct 2016
173,154*,202,134,16,1,114.92,3,not out,2,v New Zealand,Mohali,23 Oct 2016
174,45,64,51,2,1,88.23,3,caught,2,v New Zealand,Ranchi,26 Oct 2016
175,65,152,76,2,1,85.52,3,caught,1,v New Zealand,Visakhapatnam,29 Oct 2016
176,122,147,105,8,5,116.19,3,caught,2,v England,Pune,15 Jan 2017
177,8,6,5,2,0,160.00,3,caught,1,v England,Cuttack,19 Jan 2017
178,55,81,63,8,0,87.30,3,caught,2,v England,Kolkata,22 Jan 2017
179,81*,108,68,6,3,119.11,3,not out,1,v Pakistan,Birmingham,4 Jun 2017
180,0,5,5,0,0,0.00,3,caught,1,v Sri Lanka,The Oval,8 Jun 2017
181,76*,136,101,7,1,75.24,3,not out,2,v South Africa,The Oval,11 Jun 2017
182,96*,96,78,13,0,123.07,3,not out,2,v Bangladesh,Birmingham,15 Jun 2017
183,5,11,9,0,0,55.55,3,caught,2,v Pakistan,The Oval,18 Jun 2017
184,32*,-,47,1,0,68.08,3,not out,1,v West Indies,Port of Spain,23 Jun 2017
185,87,-,66,4,4,131.81,3,caught,1,v West Indies,Port of Spain,25 Jun 2017
186,11,-,22,2,0,50.00,3,caught,1,v West Indies,North Sound,30 Jun 2017
187,3,-,12,0,0,25.00,3,caught,2,v West Indies,North Sound,2 Jul 2017
188,111*,-,115,12,2,96.52,3,not out,2,v West Indies,Kingston,6 Jul 2017
189,82*,-,70,10,1,117.14,3,not out,2,v Sri Lanka,Dambulla,20 Aug 2017
190,4,-,2,1,0,200.00,5,bowled,2,v Sri Lanka,Pallekele,24 Aug 2017
191,3,-,11,0,0,27.27,3,caught,2,v Sri Lanka,Pallekele,27 Aug 2017
192,131,-,96,17,2,136.45,3,caught,1,v Sri Lanka,Colombo (RPS),31 Aug 2017
193,110*,-,116,9,0,94.82,3,not out,2,v Sri Lanka,Colombo (RPS),3 Sep 2017
194,0,7,4,0,0,0.00,3,caught,1,v Australia,Chennai,17 Sep 2017
